sample_date,sample_time,distance
13/04/2023,18:02:43,8.877639442
13/04/2023,18:02:44,8.919472112
13/04/2023,18:02:45,8.919472112
13/04/2023,18:02:46,8.877639442
13/04/2023,18:02:47,8.919472112
13/04/2023,18:02:48,8.919472112
13/04/2023,18:02:49,8.919472112
13/04/2023,18:02:50,8.919472112
13/04/2023,18:02:51,8.919472112
13/04/2023,18:02:52,8.919472112
13/04/2023,18:02:53,8.919472112
13/04/2023,18:02:54,8.919472112
13/04/2023,18:02:55,8.919472112
13/04/2023,18:02:56,8.919472112
13/04/2023,18:02:57,8.919472112
13/04/2023,18:02:58,8.919472112
13/04/2023,18:02:59,8.919472112
13/04/2023,18:03:00,8.919472112
13/04/2023,18:03:01,8.919472112
13/04/2023,18:03:02,8.919472112
13/04/2023,18:03:03,8.919472112
13/04/2023,18:03:04,8.919472112
13/04/2023,18:03:05,8.919472112
13/04/2023,18:03:06,8.919472112
13/04/2023,18:03:07,8.919472112
13/04/2023,18:03:08,9
13/04/2023,18:03:09,8.919472112
13/04/2023,18:03:10,8.919472112
13/04/2023,18:03:11,8.919472112
13/04/2023,18:03:12,8.919472112
13/04/2023,18:03:13,8.919472112
13/04/2023,18:03:14,8.919472112
13/04/2023,18:03:15,8.919472112
13/04/2023,18:03:16,8.919472112
13/04/2023,18:03:17,8.919472112
13/04/2023,18:03:18,8.919472112
13/04/2023,18:03:19,8.919472112
13/04/2023,18:03:20,8.919472112
13/04/2023,18:03:21,8.919472112
13/04/2023,18:03:22,8.919472112
13/04/2023,18:03:23,8.919472112
13/04/2023,18:03:24,8.919472112
13/04/2023,18:03:25,8.919472112
13/04/2023,18:03:26,8.919472112
13/04/2023,18:03:27,8.919472112
13/04/2023,18:03:28,8.919472112
13/04/2023,18:03:29,8.919472112
13/04/2023,18:03:30,8.919472112
13/04/2023,18:03:31,8.919472112
13/04/2023,18:03:32,8.919472112
13/04/2023,18:03:33,8.919472112
13/04/2023,18:03:34,8.919472112
13/04/2023,18:03:35,8.961304781
13/04/2023,18:03:36,8.919472112
13/04/2023,18:03:37,8.919472112
13/04/2023,18:03:38,8.919472112
13/04/2023,18:03:39,8.919472112
13/04/2023,18:03:40,8.919472112
13/04/2023,18:03:41,8.919472112
13/04/2023,18:03:42,8.919472112
13/04/2023,18:04:09,7.455328685
13/04/2023,18:04:10,7.455328685
13/04/2023,18:04:11,7.455328685
13/04/2023,18:04:12,7.455328685
13/04/2023,18:04:13,7.455328685
13/04/2023,18:04:14,7.455328685
13/04/2023,18:04:15,7.455328685
13/04/2023,18:04:16,7.455328685
13/04/2023,18:04:17,7.455328685
13/04/2023,18:04:18,7.455328685
13/04/2023,18:04:19,7.455328685
13/04/2023,18:04:20,7.455328685
13/04/2023,18:04:21,7.455328685
13/04/2023,18:04:22,7.455328685
13/04/2023,18:04:23,7.455328685
13/04/2023,18:04:24,7.455328685
13/04/2023,18:04:25,7.455328685
13/04/2023,18:04:26,7.455328685
13/04/2023,18:04:27,7.455328685
13/04/2023,18:04:28,7.455328685
13/04/2023,18:04:29,7.455328685
13/04/2023,18:04:30,7.455328685
13/04/2023,18:04:31,7.455328685
13/04/2023,18:04:32,7.455328685
13/04/2023,18:04:33,7.455328685
13/04/2023,18:04:34,7.455328685
13/04/2023,18:04:35,7.455328685
13/04/2023,18:04:36,7.455328685
13/04/2023,18:04:37,7.455328685
13/04/2023,18:04:38,7.455328685
13/04/2023,18:04:39,7.455328685
13/04/2023,18:04:40,7.455328685
13/04/2023,18:04:41,7.455328685
13/04/2023,18:04:42,7.455328685
13/04/2023,18:04:43,7.455328685
13/04/2023,18:04:44,7.455328685
13/04/2023,18:04:45,7.455328685
13/04/2023,18:04:46,7.455328685
13/04/2023,18:04:47,7.455328685
13/04/2023,18:04:48,7.455328685
13/04/2023,18:04:49,7.455328685
13/04/2023,18:04:50,7.455328685
13/04/2023,18:04:51,7.455328685
13/04/2023,18:04:52,7.455328685
13/04/2023,18:04:53,7.455328685
13/04/2023,18:04:54,7.455328685
13/04/2023,18:04:55,7.455328685
13/04/2023,18:04:56,7.455328685
13/04/2023,18:04:57,7.455328685
13/04/2023,18:04:58,7.455328685
13/04/2023,18:04:59,7.455328685
13/04/2023,18:05:00,7.455328685
