sample_date,sample_time,distance
05/04/2023,11:49:34,0
05/04/2023,11:49:35,0
05/04/2023,11:49:36,0
05/04/2023,11:49:37,0
05/04/2023,11:49:38,0
05/04/2023,11:49:39,0
05/04/2023,11:49:40,0
05/04/2023,11:49:41,0
05/04/2023,11:49:42,0
05/04/2023,11:49:43,0
05/04/2023,11:49:44,0
05/04/2023,11:49:45,0
05/04/2023,11:49:46,0
05/04/2023,11:49:47,0
05/04/2023,11:49:48,0
05/04/2023,11:49:49,0
05/04/2023,11:49:50,0
05/04/2023,11:49:51,0
05/04/2023,11:49:52,0
05/04/2023,11:49:53,0
05/04/2023,11:49:54,0
05/04/2023,11:49:55,0
05/04/2023,11:49:56,0
05/04/2023,11:49:57,0
05/04/2023,11:49:58,0
05/04/2023,11:49:59,0
05/04/2023,11:50:00,0
05/04/2023,11:50:01,0
05/04/2023,11:50:02,0
05/04/2023,11:50:03,0
05/04/2023,11:50:04,0
05/04/2023,11:50:05,0
05/04/2023,11:50:06,0
05/04/2023,11:50:07,0
05/04/2023,11:50:08,0
05/04/2023,11:50:09,0
05/04/2023,11:50:10,0
05/04/2023,11:50:11,0
05/04/2023,11:50:12,0
05/04/2023,11:50:13,0
05/04/2023,11:50:14,0
05/04/2023,11:50:15,0
05/04/2023,11:50:16,0
05/04/2023,11:50:17,0
05/04/2023,11:50:18,0
05/04/2023,11:50:19,0
05/04/2023,11:50:20,0
05/04/2023,11:50:21,0
05/04/2023,11:50:22,0
05/04/2023,11:50:23,0
05/04/2023,11:50:24,0
05/04/2023,11:50:25,0
05/04/2023,11:50:26,0
05/04/2023,11:50:27,0
05/04/2023,11:50:28,0
05/04/2023,11:50:29,0
05/04/2023,11:50:30,0
05/04/2023,11:50:31,0
05/04/2023,11:50:32,0
05/04/2023,11:50:33,0
05/04/2023,11:50:50,16.81715882
05/04/2023,11:50:51,16.81715882
05/04/2023,11:50:52,16.81715882
05/04/2023,11:50:53,16.81715882
05/04/2023,11:50:54,16.81715882
05/04/2023,11:50:55,16.81715882
05/04/2023,11:50:56,16.81715882
05/04/2023,11:50:57,16.81715882
05/04/2023,11:50:58,16.81715882
05/04/2023,11:50:59,16.81715882
05/04/2023,11:51:00,16.81715882
05/04/2023,11:51:01,16.74692737
05/04/2023,11:51:02,16.74692737
05/04/2023,11:51:03,16.74692737
05/04/2023,11:51:04,16.74692737
05/04/2023,11:51:05,16.74692737
05/04/2023,11:51:06,16.74692737
05/04/2023,11:51:07,16.74692737
05/04/2023,11:51:08,16.74692737
05/04/2023,11:51:09,16.74692737
05/04/2023,11:51:10,16.74692737
05/04/2023,11:51:11,16.74692737
05/04/2023,11:51:12,16.74692737
05/04/2023,11:51:13,16.74692737
05/04/2023,11:51:14,16.67669593
05/04/2023,11:51:15,16.67669593
05/04/2023,11:51:16,16.67669593
05/04/2023,11:51:17,16.67669593
05/04/2023,11:51:18,16.67669593
05/04/2023,11:51:19,16.60646449
05/04/2023,11:51:20,16.60646449
05/04/2023,11:51:21,16.60646449
05/04/2023,11:51:22,16.67669593
05/04/2023,11:51:23,16.67669593
05/04/2023,11:51:24,16.88739026
05/04/2023,11:51:25,18.04018895
